,New World Albany,New World Birkenhead,New World Botany,New World Browns Bay,New World Devonport,New World Eastridge,New World Green Bay,New World Howick,New World Long Bay,New World Metro Shore City,New World Metro Queen St,New World Milford,New World Mt Roskill,New World New Lynn,New World Ormiston,New World Papakura,New World Papatoetoe,New World Remuera,New World Southmall,New World Stonefields,New World Victoria Park,Pak 'n Save Albany,Pak 'n Save Botany,Pak 'n Save Clendon,Pak 'n Save Glen Innes,Pak 'n Save Henderson,Pak 'n Save Lincoln Road,Pak 'n Save Mangere,Pak 'n Save Manukau,Pak 'n Save Mt Albert,Pak 'n Save Ormiston,Pak 'n Save Papakura,Pak 'n Save Royal Oak,Pak 'n Save Sylvia Park,Pak 'n Save Wairau Road,Pak 'n Save Westgate,Four Square Alberton,Four Square Botany Junction,Four Square Cockle Bay,Four Square Ellerslie,Four Square Everglade,Four Square Fair Price Henderson,Four Square Glen Eden,Four Square Hobsonville,Four Square Lancaster,Four Square Pakuranga Heights,Four Square St Heliers,Four Square Torbay,Warehouse
New World Albany,0,1430.03,2996.8,620.27,1779.29,2437.98,2706.03,3231.16,730.47,1137.29,1500.93,1085.09,2271.19,2551.94,3144.09,3518.92,2734.15,1876.83,3039.2,2231.63,1379.05,122.58,2987.77,3464.51,2641.23,2215.18,1736.43,2930.31,2713.42,2001.99,3214.4,3288.18,2177.45,2206.79,841.36,1419.08,1847.08,3019.89,3394.28,1912.4,2833.71,1923.08,2570.6,1212.86,1243.85,2589.55,2767.26,817.38,2256.71
New World Birkenhead,1426.99,0,2640.69,1777.33,1636.89,2081.87,2349.92,2875.05,1826.82,994.9,1144.81,1023.75,1915.08,2096.71,2787.98,3162.8,2378.04,1520.72,2683.09,1875.51,1022.94,1384,2631.65,3108.4,2285.12,2290.1,2090.65,2574.2,2357.31,1645.88,2858.28,2932.07,1821.33,1850.67,810.9,1982.3,1490.97,2663.78,3038.17,1556.28,2477.6,2277.3,2385.16,1776.09,421.65,2233.44,2411.15,1913.73,1900.6
New World Botany,2999.28,2540.67,0,3349.61,3209.18,1638.74,2738.59,568.33,3399.1,2567.18,1844.8,2703.25,2150.96,2684.77,532.53,1727.67,1076.36,1577.04,1247.95,1212.18,1891.29,2956.28,127.4,1639.24,1277.34,2826.97,2627.51,1654.63,829.91,2182.74,602.83,1496.93,1609.91,1048.76,2663.84,2792.67,2027.84,429.91,593.67,1297.8,802.18,2814.17,2922.03,3077.42,2842.16,490.17,1513.61,3486.01,2031.01
New World Browns Bay,615.83,1753.59,3320.37,0,2102.85,2761.54,3029.6,3554.73,570.53,1460.86,1824.49,1040.26,2594.76,2875.5,3467.65,3842.48,3057.72,2200.39,3362.76,2555.19,1702.61,695.69,3311.33,3788.07,2964.79,2538.74,2060,3253.87,3036.99,2325.55,3537.96,3611.75,2501.01,2530.35,1164.92,1742.64,2170.65,3343.45,3717.85,2235.96,3157.28,2246.65,2894.17,1536.43,1567.41,2913.12,3090.83,407.65,2580.27
New World Devonport,1843.94,1596.9,3163.68,2194.28,0,2604.85,2872.91,3398.03,2243.77,887.97,1667.8,1167.5,2438.07,2619.69,3310.96,3685.79,2901.02,2043.7,3206.07,2398.5,1545.92,1800.95,3154.64,3631.38,2808.1,2813.08,2613.63,3097.18,2880.29,2168.86,3381.27,3455.05,2344.32,2373.66,1388.09,2399.25,2013.96,3186.76,3561.16,2079.27,3000.59,2800.28,2908.15,2193.04,1809.15,2756.43,2934.14,2330.68,2423.58
New World Eastridge,2313.01,1854.4,1688.35,2663.34,2522.91,0,2162.91,1789.59,2712.83,1880.91,889.61,2016.98,1728.07,1909.7,2110.96,2485.78,1701.02,667.45,2006.06,738.51,1363.34,2270.01,1679.32,2431.38,496.36,2103.09,1903.64,2387.19,1680.29,1458.86,2181.26,2255.05,1237.6,1012.22,1977.57,2068.79,1303.96,1986.76,2001.36,811.5,1800.58,2090.29,2198.15,2353.54,2155.9,1281.1,454.62,2799.74,1713.58
New World Green Bay,2720.99,2262.38,2835.54,3071.32,2930.89,2289.11,0,3195.91,3120.81,2288.89,1654.9,2424.96,775.1,474.74,2628.49,2794.54,1905.38,1841.57,2314.82,2196.37,1603.01,2677.99,2902.78,2314.69,2605.97,1112.49,1630.73,1619.82,2078.51,673.9,2698.8,2563.81,1256.24,2171.53,2385.55,1795.88,955.25,2504.29,3369.04,1877.14,2239.53,1413.59,544.41,2080.63,2563.88,2554.29,2732,3207.72,946.22
New World Howick,3256.37,2797.76,563.76,3606.71,3466.27,1752.66,3143.88,0,3656.2,2824.27,2101.9,2960.34,2709.04,2890.67,1061.76,2256.9,1555.74,1834.14,1777.18,1326.1,2148.39,3213.37,487.82,2168.47,1391.26,3084.06,2884.61,2183.86,1359.15,2439.84,1132.06,2026.16,1867.01,1305.85,2920.93,3049.76,2284.93,959.14,243.1,1554.9,1331.41,3071.26,3179.12,3334.51,3099.26,605.12,1627.54,3743.1,2177.39
New World Long Bay,775.92,1855.08,3421.85,563.42,2204.33,2863.03,3131.08,3656.21,0,1562.34,1925.97,1510.13,2696.24,2976.99,3569.13,3943.96,3159.2,2301.88,3464.24,2656.67,1804.1,806.03,3412.81,3889.56,3066.28,2640.22,2161.48,3355.36,3138.47,2427.03,3639.44,3713.23,2602.49,2631.83,1266.4,1844.12,2272.13,3444.94,3819.33,2337.44,3258.76,2348.13,2995.65,1637.91,1668.89,3014.6,3192.31,195.9,2681.75
New World Metro Shore City,1072.16,907.05,2473.82,1422.5,899.07,1914.99,2183.05,2708.18,1471.99,0,977.94,354.66,1748.21,1929.84,2621.1,2995.93,2211.17,1353.84,2516.21,1708.64,856.07,1029.16,2464.78,2941.52,2118.25,2123.23,1923.78,2407.32,2190.44,1479,2691.41,2765.2,1654.46,1683.8,535.09,1627.47,1324.1,2496.91,2871.3,1389.41,2310.73,2110.43,2218.29,1421.26,1045.9,2066.57,2244.28,1558.89,1733.72
