Brand,Location,Weekdays,Saturday
Four Square,Alberton,3.0,1.0
Four Square,Botany Junction,2.25,0.0
Four Square,Cockle Bay,3.0,1.0
Four Square,Ellerslie,3.0,1.0
Four Square,Everglade,2.0,1.0
Four Square,Fair Price Henderson,3.0,1.0
Four Square,Glen Eden,2.0,1.0
Four Square,Hobsonville,3.0,1.0
Four Square,Lancaster,2.0,1.0
Four Square,Pakuranga Heights,2.25,1.0
Four Square,St Heliers,2.25,1.0
Four Square,Torbay,3.0,0.0
New World,Albany,7.0,2.25
New World,Birkenhead,7.0,2.25
New World,Botany,7.0,3.0
New World,Browns Bay,6.25,1.5
New World,Devonport,7.0,2.25
New World,Eastridge,6.0,3.0
New World,Green Bay,7.0,2.25
New World,Howick,6.0,3.0
New World,Long Bay,6.25,2.25
New World,Metro Queen St,6.0,2.25
New World,Metro Shore City,7.0,3.0
New World,Milford,6.0,3.0
New World,Mt Roskill,6.0,3.0
New World,New Lynn,7.0,3.0
New World,Ormiston,6.0,2.25
New World,Papakura,7.0,1.5
New World,Papatoetoe,7.0,3.0
New World,Remuera,7.0,3.0
New World,Southmall,6.0,3.0
New World,Stonefields,7.0,3.0
New World,Victoria Park,6.0,3.0
Pak 'n Save,Albany,8.25,6.0
Pak 'n Save,Botany,9.0,6.0
Pak 'n Save,Clendon,9.0,6.0
Pak 'n Save,Glen Innes,8.25,4.25
Pak 'n Save,Henderson,8.0,6.0
Pak 'n Save,Lincoln Road,9.0,5.0
Pak 'n Save,Mangere,9.0,5.25
Pak 'n Save,Manukau,8.0,5.0
Pak 'n Save,Mt Albert,8.0,3.5
Pak 'n Save,Ormiston,7.25,6.0
Pak 'n Save,Papakura,9.0,5.25
Pak 'n Save,Royal Oak,8.0,4.5
Pak 'n Save,Sylvia Park,7.25,5.0
Pak 'n Save,Wairau Road,8.25,6.0
Pak 'n Save,Westgate,9.0,5.0
