,New World Albany,New World Birkenhead,New World Botany,New World Browns Bay,New World Devonport,New World Eastridge,New World Green Bay,New World Howick,New World Long Bay,New World Metro Shore City,New World Metro Queen St,New World Milford,New World Mt Roskill,New World New Lynn,New World Ormiston,New World Papakura,New World Papatoetoe,New World Remuera,New World Southmall,New World Stonefields,New World Victoria Park,Pak 'n Save Albany,Pak 'n Save Botany,Pak 'n Save Clendon,Pak 'n Save Glen Innes,Pak 'n Save Henderson,Pak 'n Save Lincoln Road,Pak 'n Save Mangere,Pak 'n Save Manukau,Pak 'n Save Mt Albert,Pak 'n Save Ormiston,Pak 'n Save Papakura,Pak 'n Save Royal Oak,Pak 'n Save Sylvia Park,Pak 'n Save Wairau Road,Pak 'n Save Westgate,Four Square Alberton,Four Square Botany Junction,Four Square Cockle Bay,Four Square Ellerslie,Four Square Everglade,Four Square Fair Price Henderson,Four Square Glen Eden,Four Square Hobsonville,Four Square Lancaster,Four Square Pakuranga Heights,Four Square St Heliers,Four Square Torbay,Warehouse
New World Albany,0,15707.07,35831.63,5002.26,17816.59,28195.18,33914.76,37806.86,6684.12,11928.17,17563.27,10989.9,29744.01,31310.95,41102.82,49641.32,36698.98,22952.63,42231.39,27302.18,16696.72,562.69,35641.26,45583.68,30343.67,26350.05,22046.5,40634.61,37301.75,24341.53,41443.94,45858.89,25357.95,28708.94,7756.65,17827.03,22453.25,40301.42,40251.46,24470.4,39272.08,23888.04,29952.54,14489.1,12092.67,32998.9,32700.15,6816.16,30157.02
New World Birkenhead,15287.26,0,28131.81,18126.39,13360.01,20495.36,26214.94,30107.04,20981.63,7471.6,9863.46,7600.58,22044.19,20714.51,33403.01,41941.5,28999.16,15252.81,34531.57,19602.36,8996.91,15011.41,27941.44,37883.87,22643.85,23754.21,23760.63,32934.8,29601.94,16641.71,33744.13,38159.07,17658.13,21009.12,6657.24,25709.98,14753.43,32601.6,32551.65,16770.58,31572.26,25602.17,24094.73,22372.05,3568.35,25299.08,25000.33,21113.67,22457.2
New World Botany,35679.64,27733.27,0,38518.77,33752.39,13488.66,34025.99,5213.34,41374.02,27863.98,19439.17,29821.1,26687.15,31348.29,4281.8,19540.5,9214.39,15756.15,12130.57,9556.47,19993.83,35403.79,767.24,15477.4,10152.28,31545.57,31551.99,17990.7,7155.04,24433.08,4622.92,15758.08,14247.11,8393.48,30386.48,34913.7,22544.8,3683.26,5675.66,12163.37,7505.3,33393.53,31886.09,38785.78,30901.31,4100.96,13682.88,41506.05,26927.61
New World Browns Bay,4981.04,18563.38,38687.94,0,20672.9,31051.49,36771.07,40663.16,5038.48,14784.48,20419.58,8955.37,32600.32,34167.26,43959.14,52497.63,39555.29,25808.94,45087.7,30158.49,19553.04,6053.68,38497.57,48440,33199.98,29206.37,24902.81,43490.93,40158.07,27197.84,44300.25,48715.2,28214.26,31565.25,10612.96,20683.34,25309.56,43157.73,43107.77,27326.71,42128.39,26744.35,32808.85,17345.41,14948.99,35855.21,35556.46,3439.98,33013.33
New World Devonport,18358.33,13885.65,34010.21,21197.45,0,26373.76,32093.34,35985.43,24052.7,7742.66,15741.85,10143.85,27922.59,26592.9,39281.41,47819.9,34877.56,21131.21,40409.97,25480.76,14875.31,18082.47,33819.84,43762.27,28522.25,29632.61,29639.03,38813.2,35480.34,22520.11,39622.52,44037.47,23536.53,26887.52,10618.91,28781.04,20631.83,38480,38430.05,22648.98,37450.66,31480.56,29973.13,25443.12,15854.86,31177.48,30878.73,24184.73,28335.6
New World Eastridge,26195.17,18248.8,13896.56,29034.29,24267.92,0,24491.56,15118.5,31889.54,18379.51,7273.51,20336.63,20320.81,18991.12,23528.78,32067.28,19124.94,4997.2,24657.35,5119.85,12320.38,25919.32,13706.19,28009.64,3420.59,22030.82,22037.24,31211.41,19727.71,14918.33,23869.9,28284.85,9477.22,8308.43,20902.01,25398.95,13030.05,22727.37,16543.94,6631.85,21698.04,23878.78,22371.34,29271.03,21416.83,11063.83,4038.63,32021.58,20733.82
New World Green Bay,33579.05,25632.68,33433.29,36418.18,31651.8,24574.96,0,35993.39,39273.43,25763.39,18622.31,27720.51,7268.81,3525.37,31049.3,37765.09,24195.28,21139.17,30355.15,25488.71,17939.38,33303.2,33940.84,27158.81,28530.21,9798.02,19039.62,19854.9,26526.6,6479.32,31390.42,33982.66,12936.56,26895.47,28285.89,22401.32,9489.56,30247.89,38849.26,22656.93,27886.12,11973,4929.46,26273.4,28800.72,31185.44,30886.69,39405.46,9377.3
New World Howick,37623.23,29676.86,5209.83,40462.36,35695.98,14682.51,35949.89,0,43317.6,29807.57,21382.75,31764.69,31779.15,30449.46,9318.29,24576.99,14288.11,17699.74,17167.06,10750.32,21937.42,37347.38,4684.62,20513.89,11346.14,33489.16,33495.58,23027.18,12191.52,26376.67,9659.4,20794.56,16190.7,10337.07,32330.07,36857.28,24488.38,8719.74,1731.3,14106.95,12541.78,35337.12,33829.68,40729.36,32844.89,5320.43,14876.74,43449.64,21659.53
New World Long Bay,6792.77,21191.8,41316.36,5037.86,23301.32,33679.91,39399.49,43291.59,0,17412.9,23048.01,16474.64,35228.74,36795.68,46587.56,55126.05,42183.71,28437.36,47716.12,32786.91,22181.46,7370.99,41125.99,51068.41,35828.4,31834.79,27531.24,46119.34,42786.48,29826.26,46928.67,51343.63,30842.68,34193.67,13241.38,23311.76,27937.98,45786.15,45736.2,29955.13,44756.82,29372.77,35437.27,19973.83,17577.41,38483.63,38184.88,1707.45,35641.75
New World Metro Shore City,10381.88,7392.64,27517.2,13221,7399.9,19880.75,25600.33,29492.42,16076.25,0,9248.84,2613.92,21429.58,20099.89,32788.39,41326.89,28384.54,14638.2,33916.96,18987.74,8382.29,10106.02,27326.83,37269.25,22029.24,23139.59,23146.01,32320.18,28987.32,16027.1,33129.51,37544.46,17043.52,20394.5,2874.77,20804.6,14138.81,31986.98,31937.03,16155.96,30957.65,24987.55,23480.11,17466.67,8564.2,24684.47,24385.72,16208.28,21842.59
