Route,Cost
"New World Papakura, Pak 'n Save Papakura, New World Southmall, Pak 'n Save Clendon",294.55
"New World Mt Roskill, New World Papatoetoe, Pak 'n Save Mangere",192.67
"Pak 'n Save Wairau Road, New World Milford, New World Metro Shore City, New World Devonport",332.36
"New World Birkenhead, Four Square Lancaster, Pak 'n Save Albany, New World Albany, New World Browns Bay, Four Square Torbay, New World Long Bay",432.4
"Four Square Alberton, New World Victoria Park, New World Metro Queen St, New World Remuera, Four Square Ellerslie, Pak 'n Save Royal Oak",260.38
"Pak 'n Save Sylvia Park, New World Stonefields, Pak 'n Save Glen Innes, Four Square St Heliers, New World Eastridge",303.79
"Pak 'n Save Manukau, New World Ormiston, Pak 'n Save Ormiston, Four Square Botany Junction, Four Square Everglade",263.79
"Four Square Fair Price Henderson, Pak 'n Save Lincoln Road, Pak 'n Save Westgate, Four Square Hobsonville",246.15
"Pak 'n Save Henderson, Four Square Glen Eden, New World Green Bay, New World New Lynn, Pak 'n Save Mt Albert",249.15
"New World Botany, Pak 'n Save Botany, Four Square Cockle Bay, New World Howick, Four Square Pakuranga Heights",314.76
