Route,Cost
"Four Square Glen Eden, Pak 'n Save Henderson, Four Square Fair Price Henderson, Four Square Hobsonville",317.13
Pak 'n Save Lincoln Road,104.19
Pak 'n Save Westgate,118.69
"Four Square Everglade, New World Ormiston, Pak 'n Save Ormiston",271.92
"Four Square Alberton, Four Square Pakuranga Heights, New World Howick, Four Square Cockle Bay, Four Square Botany Junction",387.92
"Pak 'n Save Botany, New World Botany",279.43
"New World Southmall, Pak 'n Save Clendon",235.5
"New World Long Bay, Four Square Torbay, New World Browns Bay",359.86
"Pak 'n Save Wairau Road, New World Milford",258.9
"New World Albany, Pak 'n Save Albany",276.95
"New World Devonport, New World Metro Shore City",306.35
"New World Birkenhead, Four Square Lancaster, New World Metro Queen St",301.18
"Pak 'n Save Papakura, New World Papakura",275.64
"Pak 'n Save Mt Albert, Pak 'n Save Royal Oak",124.64
"New World Green Bay, New World New Lynn",139.87
"New World Eastridge, Four Square St Heliers, Pak 'n Save Glen Innes",280.13
"New World Victoria Park, Pak 'n Save Sylvia Park, Four Square Ellerslie",236.45
"New World Stonefields, New World Remuera",204.51
"New World Mt Roskill, Pak 'n Save Mangere",145.67
"Pak 'n Save Manukau, New World Papatoetoe",197.64
