Route,Time,Demand,Cost,MainfreightCost
"['Warehouse', 'New World Papatoetoe', 'Four Square Everglade', 'Warehouse']",76.54820000000001,4,191.37050000000002,3000
"['Warehouse', 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'Warehouse']",96.68579999999994,4,241.71449999999987,3000
"['Warehouse', ""Pak 'n Save Papakura"", ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",103.13560000000004,13,257.8390000000001,3000
"['Warehouse', ""Pak 'n Save Papakura"", 'New World Southmall', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",112.3806,16,280.9515,3000
"['Warehouse', ""Pak 'n Save Papakura"", 'New World Southmall', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",128.88419999999996,16,322.2104999999999,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Manukau"", 'Four Square Botany Junction', 'Warehouse']",89.44340000000004,8,223.6085000000001,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Manukau"", 'Four Square Botany Junction', 'Four Square Everglade', 'Warehouse']",96.94480000000009,9,242.3620000000002,3000
"['Warehouse', 'New World Papakura', 'New World Southmall', ""Pak 'n Save Manukau"", 'Warehouse']",113.60980000000008,10,284.0245000000002,3000
"['Warehouse', 'Four Square Botany Junction', ""Pak 'n Save Ormiston"", 'Four Square Everglade', 'New World Southmall', ""Pak 'n Save Clendon"", 'Warehouse']",123.08360000000005,16,307.7090000000001,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Botany Junction', 'Four Square Everglade', 'Warehouse']",96.48980000000002,9,241.22450000000006,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'New World Ormiston', 'Four Square Botany Junction', 'Four Square Everglade', 'Warehouse']",106.99820000000005,11,267.49550000000016,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'Four Square Everglade', ""Pak 'n Save Mangere"", 'New World Mt Roskill', 'Warehouse']",110.51239999999999,15,276.28099999999995,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Papakura"", 'New World Papakura', 'New World Southmall', 'Four Square Everglade', 'Warehouse']",124.12599999999999,14,310.31499999999994,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Papakura"", 'New World Papakura', 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'Warehouse']",141.93279999999993,14,354.8319999999998,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Papakura"", 'New World Papakura', 'New World Southmall', 'Four Square Everglade', 'New World Ormiston', 'Four Square Botany Junction', 'Warehouse']",151.81279999999995,16,379.5319999999999,3000
"['Warehouse', 'New World Mt Roskill', 'New World Papatoetoe', 'Four Square Everglade', 'New World Southmall', ""Pak 'n Save Clendon"", 'Warehouse']",112.94440000000003,16,282.36100000000005,3000
"['Warehouse', 'New World Mt Roskill', 'New World Papatoetoe', 'Four Square Botany Junction', 'Four Square Everglade', 'New World Southmall', ""Pak 'n Save Clendon"", 'Warehouse']",125.37940000000003,16,313.4485000000001,3000
"['Warehouse', ""Pak 'n Save Papakura"", 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'New World Papatoetoe', 'New World Mt Roskill', 'Warehouse']",138.1178,15,345.29449999999997,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Ormiston"", 'Four Square Botany Junction', 'Warehouse']",96.37560000000002,9,240.93900000000005,3000
"['Warehouse', 'New World Mt Roskill', 'New World Ormiston', ""Pak 'n Save Ormiston"", 'Four Square Botany Junction', 'Warehouse']",101.0632,11,252.658,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'Four Square Everglade', 'New World Ormiston', 'Warehouse']",108.27880000000005,9,270.6970000000001,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'New World Southmall', 'Four Square Everglade', 'New World Ormiston', 'Warehouse']",115.23500000000004,12,288.08750000000015,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'New World Ormiston', 'Warehouse']",94.82840000000004,10,237.0710000000001,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'New World Ormiston', 'Warehouse']",124.84800000000004,16,312.1200000000001,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'New World Ormiston', 'Warehouse']",144.05060000000003,13,360.1265000000001,3000
"['Warehouse', 'New World Mt Roskill', 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Botany Junction', 'New World Ormiston', 'Warehouse']",109.14220000000009,13,272.85550000000023,3000
"['Warehouse', ""Pak 'n Save Manukau"", 'Four Square Botany Junction', 'Four Square Everglade', 'Warehouse']",88.2232,6,220.55800000000002,3000
"['Warehouse', ""Pak 'n Save Manukau"", 'New World Ormiston', 'Four Square Botany Junction', 'Four Square Everglade', 'Warehouse']",98.73160000000004,8,246.82900000000012,3000
"['Warehouse', ""Pak 'n Save Manukau"", 'New World Ormiston', ""Pak 'n Save Ormiston"", 'Four Square Botany Junction', 'Four Square Everglade', 'Warehouse']",105.51500000000006,14,263.78750000000014,3000
"['Warehouse', 'Four Square Everglade', ""Pak 'n Save Manukau"", ""Pak 'n Save Mangere"", 'Warehouse']",88.96799999999996,11,222.4199999999999,3000
"['Warehouse', 'New World Papatoetoe', 'New World Ormiston', ""Pak 'n Save Ormiston"", 'Four Square Botany Junction', 'Four Square Everglade', 'Warehouse']",106.27500000000002,12,265.68750000000006,3000
"['Warehouse', 'New World Papatoetoe', 'New World Ormiston', ""Pak 'n Save Ormiston"", 'Four Square Botany Junction', 'Four Square Everglade', 'New World Southmall', 'Warehouse']",121.56340000000002,15,303.90850000000006,3000
