"From","To","Distance","Duration"
"New World Albany","New World Albany",0,0
"New World Albany","New World Birkenhead",15.70707,23.8338333333333
"New World Albany","New World Botany",35.83163,49.9466666666667
"New World Albany","New World Browns Bay",5.00226,10.3378333333333
"New World Albany","New World Devonport",17.81659,29.6548333333333
"New World Albany","New World Eastridge",28.19518,40.633
"New World Albany","New World Green Bay",33.91476,45.1005
"New World Albany","New World Howick",37.80686,53.8526666666667
"New World Albany","New World Long Bay",6.68412,12.1745
"New World Albany","New World Metro Shore City",11.92817,18.9548333333333
"New World Albany","New World Metro Queen St",17.56327,25.0155
"New World Albany","New World Milford",10.9899,18.0848333333333
"New World Albany","New World Mt Roskill",29.74401,37.8531666666667
"New World Albany","New World New Lynn",31.31095,42.5323333333333
"New World Albany","New World Ormiston",41.10282,52.4015
"New World Albany","New World Papakura",49.64132,58.6486666666667
"New World Albany","New World Papatoetoe",36.69898,45.5691666666667
"New World Albany","New World Remuera",22.95263,31.2805
"New World Albany","New World Southmall",42.23139,50.6533333333333
"New World Albany","New World Stonefields",27.30218,37.1938333333333
"New World Albany","New World Victoria Park",16.69672,22.9841666666667
"New World Albany","Pak 'n Save Albany",0.56269,2.043
"New World Albany","Pak 'n Save Botany",35.64126,49.7961666666667
"New World Albany","Pak 'n Save Clendon",45.58368,57.7418333333333
"New World Albany","Pak 'n Save Glen Innes",30.34367,44.0205
"New World Albany","Pak 'n Save Henderson",26.35005,36.9196666666667
"New World Albany","Pak 'n Save Lincoln Road",22.0465,28.9405
"New World Albany","Pak 'n Save Mangere",40.63461,48.8385
"New World Albany","Pak 'n Save Manukau",37.30175,45.2236666666667
"New World Albany","Pak 'n Save Mt Albert",24.34153,33.3665
"New World Albany","Pak 'n Save Ormiston",41.44394,53.5733333333333
"New World Albany","Pak 'n Save Papakura",45.85889,54.803
"New World Albany","Pak 'n Save Royal Oak",25.35795,36.2908333333333
"New World Albany","Pak 'n Save Sylvia Park",28.70894,36.7798333333333
"New World Albany","Pak 'n Save Wairau Road",7.75665,14.0226666666667
"New World Albany","Pak 'n Save Westgate",17.82703,23.6513333333333
"New World Albany","Four Square Alberton",22.45325,30.7846666666667
