Route,Time,Demand,Cost,MainfreightCost
"['Warehouse', 'New World Papatoetoe', 'Four Square Botany Junction', 'Warehouse']",93.72876666666662,9,234.3219166666665,3000
"['Warehouse', 'New World Papatoetoe', 'Four Square Botany Junction', 'New World Ormiston', 'Warehouse']",106.39966666666666,15,265.99916666666667,3000
"['Warehouse', 'New World Mt Roskill', 'New World Southmall', 'Four Square Everglade', 'Warehouse']",100.20070000000008,14,250.50175000000021,3000
"['Warehouse', 'New World Southmall', 'Four Square Everglade', 'New World Ormiston', 'Warehouse']",116.8803,14,292.20075,3000
"['Warehouse', 'New World Ormiston', 'Four Square Everglade', 'Warehouse']",101.0076000000001,8,252.51900000000023,3000
"['Warehouse', ""Pak 'n Save Manukau"", 'Four Square Botany Junction', 'Four Square Everglade', 'Warehouse']",100.92706666666668,12,252.3176666666667,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Manukau"", 'Four Square Botany Junction', 'Warehouse']",102.35063333333338,16,255.87658333333346,3000
"['Warehouse', 'Four Square Everglade', ""Pak 'n Save Papakura"", 'Warehouse']",111.47306666666661,11,278.68266666666653,3000
"['Warehouse', 'New World Papakura', 'Four Square Everglade', 'New World Papatoetoe', 'Warehouse']",136.25723333333337,16,340.64308333333344,3000
"['Warehouse', 'New World Mt Roskill', 'New World Ormiston', 'Warehouse']",103.21330000000003,12,258.03325000000007,3000
"['Warehouse', 'New World Mt Roskill', 'New World Ormiston', 'Four Square Everglade', 'Warehouse']",110.51613333333339,14,276.2903333333335,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Clendon"", 'Warehouse']",88.35323333333326,15,220.88308333333316,3000
"['Warehouse', ""Pak 'n Save Ormiston"", 'Four Square Botany Junction', 'New World Papatoetoe', 'Warehouse']",110.55416666666676,16,276.3854166666669,3000
"['Warehouse', 'Four Square Everglade', 'New World Ormiston', ""Pak 'n Save Ormiston"", 'Warehouse']",108.76753333333329,15,271.9188333333332,3000
"['Warehouse', ""Pak 'n Save Ormiston"", 'Four Square Botany Junction', 'New World Southmall', 'Warehouse']",122.74303333333339,15,306.8575833333335,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Manukau"", 'Warehouse']",119.10423333333338,15,297.76058333333344,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Clendon"", 'Warehouse']",94.62663333333323,16,236.56658333333309,3000
"['Warehouse', ""Pak 'n Save Manukau"", 'Four Square Everglade', 'Warehouse']",84.2363,10,210.59074999999999,3000
"['Warehouse', 'Four Square Everglade', 'New World Ormiston', 'Four Square Botany Junction', 'Warehouse']",106.30003333333329,10,265.75008333333324,3000
"['Warehouse', 'New World Mt Roskill', 'Four Square Everglade', 'New World Ormiston', 'Four Square Botany Junction', 'Warehouse']",115.8085666666667,16,289.52141666666677,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Papakura"", 'Warehouse']",104.25256666666665,15,260.63141666666667,3000
"['Warehouse', 'Four Square Everglade', ""Pak 'n Save Ormiston"", 'Four Square Botany Junction', 'Warehouse']",108.74513333333323,11,271.86283333333307,3000
"['Warehouse', 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'New World Ormiston', 'Warehouse']",123.47099999999998,16,308.67749999999995,3000
"['Warehouse', ""Pak 'n Save Ormiston"", ""Pak 'n Save Mangere"", 'Warehouse']",112.01136666666676,16,280.0284166666669,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Clendon"", 'Warehouse']",121.73926666666677,16,304.3481666666669,3000
"['Warehouse', ""Pak 'n Save Manukau"", 'New World Ormiston', 'Warehouse']",99.65543333333338,14,249.13858333333343,3000
"['Warehouse', ""Pak 'n Save Manukau"", 'Four Square Everglade', 'New World Ormiston', 'Warehouse']",110.42443333333333,16,276.0610833333333,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Papakura"", 'Warehouse']",110.42236666666662,16,276.0559166666665,3000
"['Warehouse', 'New World Mt Roskill', 'New World Papatoetoe', 'Four Square Botany Junction', 'Warehouse']",103.23730000000003,15,258.09325000000007,3000
