Route,Cost,MainfreightCost
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Mangere"", 'Warehouse']",109.76166666666681,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Mangere"", 'New World Papatoetoe', 'Warehouse']",166.21458333333356,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Mangere"", 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Warehouse']",198.59333333333362,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Mangere"", 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Everglade', 'Warehouse']",226.69833333333358,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Everglade', 'New World Southmall', ""Pak 'n Save Clendon"", 'Warehouse']",236.0137499999999,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Botany Junction', 'Four Square Everglade', 'New World Southmall', ""Pak 'n Save Clendon"", 'Warehouse']",268.6758333333333,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", 'New World Southmall', 'Warehouse']",224.65041666666676,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", 'New World Southmall', 'Four Square Everglade', 'Warehouse']",245.85750000000004,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'Warehouse']",300.4329166666667,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'New World Southmall', 'Warehouse']",175.91083333333341,3000
"['Warehouse', 'Four Square Everglade', 'Four Square Botany Junction', 'New World Ormiston', ""Pak 'n Save Ormiston"", 'New World Papatoetoe', 'Warehouse']",237.46875000000009,3000
"['Warehouse', 'Four Square Everglade', 'New World Southmall', 'Four Square Botany Junction', 'New World Ormiston', ""Pak 'n Save Ormiston"", 'New World Papatoetoe', 'Warehouse']",281.42875000000004,3000
"['Warehouse', 'New World Mt Roskill', 'New World Papatoetoe', 'Warehouse']",134.37791666666683,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",166.72208333333353,3000
"['Warehouse', 'New World Mt Roskill', 'Four Square Everglade', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",197.86000000000016,3000
"['Warehouse', 'New World Mt Roskill', 'New World Southmall', 'Four Square Everglade', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",228.1458333333335,3000
"['Warehouse', 'New World Mt Roskill', 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",260.93083333333345,3000
"['Warehouse', 'New World Mt Roskill', 'New World Papakura', 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",327.1916666666667,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Mangere"", 'Warehouse']",145.72208333333322,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Manukau"", ""Pak 'n Save Mangere"", 'Warehouse']",178.10083333333324,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Everglade', ""Pak 'n Save Mangere"", 'Warehouse']",206.2058333333333,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Everglade', 'New World Southmall', ""Pak 'n Save Mangere"", 'Warehouse']",239.72291666666678,3000
"['Warehouse', 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'Warehouse']",222.23999999999998,3000
"['Warehouse', 'New World Southmall', 'Four Square Everglade', 'New World Ormiston', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'Warehouse']",244.49000000000004,3000
"['Warehouse', 'New World Southmall', 'Four Square Everglade', 'New World Ormiston', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",263.3441666666667,3000
"['Warehouse', 'New World Papakura', 'New World Southmall', 'Four Square Everglade', 'New World Ormiston', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",329.6050000000002,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", 'Four Square Everglade', 'Warehouse']",238.34000000000023,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", 'Four Square Everglade', ""Pak 'n Save Manukau"", 'Warehouse']",260.130416666667,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", 'New World Southmall', 'Four Square Everglade', ""Pak 'n Save Manukau"", 'Warehouse']",267.64791666666673,3000
"['Warehouse', ""Pak 'n Save Mangere"", ""Pak 'n Save Manukau"", 'New World Mt Roskill', 'Warehouse']",184.62916666666675,3000
"['Warehouse', ""Pak 'n Save Mangere"", 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Botany Junction', 'Four Square Everglade', 'New World Mt Roskill', 'Warehouse']",264.2845833333334,3000
"['Warehouse', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",146.88541666666669,3000
"['Warehouse', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",192.68583333333353,3000
"['Warehouse', 'Four Square Botany Junction', 'New World Ormiston', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",218.16958333333346,3000
"['Warehouse', 'Four Square Botany Junction', 'New World Ormiston', ""Pak 'n Save Ormiston"", ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",233.9683333333334,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'New World Southmall', 'Four Square Everglade', 'Warehouse']",197.11791666666673,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'Warehouse']",235.88208333333336,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'New World Southmall', 'Four Square Everglade', 'New World Ormiston', 'Four Square Botany Junction', 'Warehouse']",258.13208333333336,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'New World Southmall', 'Four Square Everglade', 'New World Ormiston', 'Four Square Botany Junction', 'New World Papatoetoe', 'Warehouse']",278.1754166666669,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Clendon"", 'New World Southmall', 'Four Square Everglade', 'New World Ormiston', 'Four Square Botany Junction', 'New World Papatoetoe', 'Warehouse']",357.63000000000034,3000
"['Warehouse', ""Pak 'n Save Papakura"", 'New World Papakura', 'Warehouse']",202.59875000000002,3000
"['Warehouse', 'Four Square Everglade', 'Four Square Botany Junction', 'New World Ormiston', 'Warehouse']",201.62666666666667,3000
"['Warehouse', 'Four Square Everglade', 'Four Square Botany Junction', ""Pak 'n Save Ormiston"", 'New World Ormiston', 'New World Papatoetoe', 'New World Mt Roskill', 'Warehouse']",264.1941666666667,3000
"['Warehouse', 'Four Square Everglade', 'Warehouse']",137.37874999999997,3000
"['Warehouse', 'Four Square Botany Junction', 'Four Square Everglade', 'Warehouse']",175.31500000000017,3000
"['Warehouse', 'Four Square Botany Junction', 'Four Square Everglade', ""Pak 'n Save Manukau"", 'Warehouse']",197.10541666666686,3000
"['Warehouse', 'Four Square Botany Junction', 'Four Square Everglade', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",215.95958333333348,3000
"['Warehouse', 'New World Mt Roskill', 'New World Southmall', 'Warehouse']",166.29416666666683,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Manukau"", 'New World Southmall', 'Warehouse']",194.0945833333336,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'New World Southmall', 'Warehouse']",229.4925000000003,3000
"['Warehouse', 'New World Papatoetoe', 'Warehouse']",114.54125,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Everglade', 'Warehouse']",175.025,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Everglade', 'New World Ormiston', 'Warehouse']",224.64666666666665,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Everglade', 'Four Square Botany Junction', 'New World Ormiston', 'Warehouse']",239.27291666666667,3000
"['Warehouse', 'New World Southmall', 'Warehouse']",146.45749999999998,3000
"['Warehouse', 'New World Southmall', 'Four Square Everglade', 'Warehouse']",167.66458333333333,3000
"['Warehouse', 'New World Southmall', 'Four Square Everglade', ""Pak 'n Save Manukau"", 'Warehouse']",189.455,3000
"['Warehouse', 'New World Southmall', 'Four Square Everglade', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",208.30916666666664,3000
"['Warehouse', 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",241.0941666666667,3000
"['Warehouse', 'New World Papakura', 'Warehouse']",189.43166666666679,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Clendon"", 'Warehouse']",223.10583333333352,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", ""Pak 'n Save Clendon"", 'Warehouse']",235.03791666666675,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", ""Pak 'n Save Clendon"", 'New World Southmall', 'Warehouse']",267.29750000000024,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", ""Pak 'n Save Clendon"", 'New World Southmall', 'Four Square Everglade', 'Warehouse']",288.50458333333347,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", ""Pak 'n Save Clendon"", 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'Warehouse']",327.26875000000007,3000
"['Warehouse', ""Pak 'n Save Mangere"", 'Warehouse']",89.92541666666675,3000
"['Warehouse', ""Pak 'n Save Mangere"", ""Pak 'n Save Manukau"", 'Warehouse']",159.8683333333335,3000
"['Warehouse', ""Pak 'n Save Mangere"", ""Pak 'n Save Manukau"", 'Four Square Everglade', 'Warehouse']",187.9733333333335,3000
"['Warehouse', ""Pak 'n Save Mangere"", 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Botany Junction', 'Four Square Everglade', 'New World Southmall', 'Warehouse']",273.04166666666686,3000
"['Warehouse', ""Pak 'n Save Manukau"", 'Warehouse']",128.03125000000003,3000
"['Warehouse', ""Pak 'n Save Manukau"", 'Four Square Everglade', 'Warehouse']",156.13625000000002,3000
"['Warehouse', ""Pak 'n Save Manukau"", 'Four Square Everglade', 'New World Southmall', ""Pak 'n Save Clendon"", 'Warehouse']",217.12499999999991,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'Warehouse']",143.65124999999998,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'Four Square Everglade', 'Warehouse']",180.95916666666673,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'Four Square Everglade', ""Pak 'n Save Manukau"", 'Warehouse']",202.74958333333345,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'Four Square Everglade', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'Warehouse']",235.53458333333344,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'Warehouse']",251.6933333333334,3000
"['Warehouse', ""Pak 'n Save Papakura"", 'Warehouse']",172.04291666666674,3000
"['Warehouse', ""Pak 'n Save Papakura"", ""Pak 'n Save Manukau"", 'Warehouse']",201.01166666666674,3000
"['Warehouse', ""Pak 'n Save Papakura"", ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",219.86583333333343,3000
