route,cost
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Mangere"", 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Everglade', 'Warehouse']",226.69833333333358
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Mangere"", 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Everglade', 'Four Square Botany Junction', 'Warehouse']",265.46250000000015
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Everglade', 'Warehouse']",175.025
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Everglade', 'New World Southmall', ""Pak 'n Save Clendon"", 'Warehouse']",236.0137499999999
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Botany Junction', 'Four Square Everglade', 'New World Southmall', ""Pak 'n Save Clendon"", 'Warehouse']",268.6758333333333
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", 'New World Southmall', 'Four Square Everglade', ""Pak 'n Save Manukau"", 'Warehouse']",267.64791666666673
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'Warehouse']",300.4329166666667
"['Warehouse', ""Pak 'n Save Clendon"", 'New World Southmall', 'Four Square Everglade', 'Warehouse']",197.11791666666673
"['Warehouse', ""Pak 'n Save Clendon"", 'New World Southmall', 'Four Square Everglade', ""Pak 'n Save Manukau"", 'Warehouse']",218.90833333333342
"['Warehouse', ""Pak 'n Save Papakura"", 'New World Papakura', 'Warehouse']",202.59875000000002
"['Warehouse', ""Pak 'n Save Ormiston"", 'New World Ormiston', 'Four Square Botany Junction', 'Four Square Everglade', 'Warehouse']",216.63791666666674
"['Warehouse', 'Four Square Everglade', 'Four Square Botany Junction', 'New World Ormiston', 'Warehouse']",201.62666666666667
"['Warehouse', 'Four Square Everglade', ""Pak 'n Save Manukau"", 'Warehouse']",159.16916666666665
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Ormiston"", 'Four Square Botany Junction', 'Four Square Everglade', ""Pak 'n Save Manukau"", 'Warehouse']",240.0979166666666
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Ormiston"", 'Four Square Botany Junction', 'Four Square Everglade', ""Pak 'n Save Manukau"", 'New World Papakura', 'Warehouse']",329.29874999999987
"['Warehouse', 'New World Southmall', 'Four Square Everglade', 'Warehouse']",167.66458333333333
"['Warehouse', 'New World Southmall', 'Four Square Everglade', ""Pak 'n Save Manukau"", 'Warehouse']",189.455
"['Warehouse', 'New World Southmall', 'Four Square Everglade', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",208.30916666666664
"['Warehouse', 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",241.0941666666667
"['Warehouse', 'New World Southmall', 'Four Square Everglade', 'New World Ormiston', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",263.3441666666667
"['Warehouse', 'New World Papakura', 'New World Southmall', 'Four Square Everglade', 'New World Ormiston', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",329.6050000000002
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", 'New World Southmall', 'Warehouse']",224.65041666666676
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", 'New World Southmall', 'Four Square Everglade', 'Warehouse']",245.85750000000004
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'Warehouse']",284.62166666666667
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'New World Ormiston', 'Warehouse']",310.1054166666667
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'New World Ormiston', 'New World Papatoetoe', 'Warehouse']",330.1483333333335
"['Warehouse', ""Pak 'n Save Mangere"", ""Pak 'n Save Manukau"", 'Warehouse']",159.8683333333335
"['Warehouse', ""Pak 'n Save Mangere"", 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Warehouse']",178.7570833333335
"['Warehouse', ""Pak 'n Save Mangere"", 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Everglade', 'Warehouse']",206.86208333333352
"['Warehouse', ""Pak 'n Save Mangere"", 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Everglade', 'New World Southmall', 'Warehouse']",240.37958333333353
"['Warehouse', ""Pak 'n Save Mangere"", 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Botany Junction', 'Four Square Everglade', 'New World Southmall', 'Warehouse']",273.04166666666686
"['Warehouse', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",146.88541666666669
"['Warehouse', 'Four Square Everglade', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",210.8083333333333
"['Warehouse', 'Four Square Everglade', 'New World Ormiston', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",233.05833333333334
"['Warehouse', 'Four Square Everglade', 'New World Ormiston', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'New World Papatoetoe', ""Pak 'n Save Mangere"", 'Warehouse']",264.2391666666666
"['Warehouse', ""Pak 'n Save Papakura"", ""Pak 'n Save Clendon"", 'Warehouse']",203.3575
"['Warehouse', ""Pak 'n Save Papakura"", 'New World Southmall', ""Pak 'n Save Clendon"", 'Warehouse']",220.44124999999994
"['Warehouse', ""Pak 'n Save Papakura"", 'New World Southmall', ""Pak 'n Save Clendon"", 'Four Square Everglade', 'Warehouse']",257.74916666666667
"['Warehouse', ""Pak 'n Save Papakura"", 'New World Southmall', ""Pak 'n Save Clendon"", 'Four Square Everglade', 'Four Square Botany Junction', 'Warehouse']",296.51333333333326
"['Warehouse', ""Pak 'n Save Papakura"", 'New World Papakura', 'New World Southmall', ""Pak 'n Save Clendon"", 'Four Square Everglade', 'Four Square Botany Junction', 'Warehouse']",329.42875000000004
