route,cost
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Everglade', 'Warehouse']",175.025
"['Warehouse', 'New World Southmall', 'Four Square Everglade', ""Pak 'n Save Manukau"", 'Warehouse']",189.455
"['Warehouse', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",146.88541666666669
"['Warehouse', 'New World Papatoetoe', 'Four Square Everglade', 'Warehouse']",162.80875
"['Warehouse', 'New World Papatoetoe', 'Four Square Everglade', 'New World Southmall', 'Warehouse']",196.32625000000002
"['Warehouse', 'New World Papatoetoe', 'Four Square Botany Junction', 'Four Square Everglade', 'New World Southmall', 'Warehouse']",223.89916666666667
"['Warehouse', 'Four Square Botany Junction', ""Pak 'n Save Mangere"", 'New World Mt Roskill', 'Warehouse']",213.9620833333335
"['Warehouse', ""Pak 'n Save Manukau"", 'Four Square Everglade', 'Warehouse']",156.13625000000002
"['Warehouse', ""Pak 'n Save Clendon"", 'Four Square Everglade', 'Warehouse']",180.95916666666673
"['Warehouse', ""Pak 'n Save Clendon"", 'New World Southmall', 'Four Square Everglade', 'Warehouse']",197.11791666666673
"['Warehouse', 'Four Square Everglade', 'Warehouse']",137.37874999999997
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Mangere"", 'Warehouse']",109.76166666666681
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Mangere"", 'Four Square Everglade', 'Warehouse']",189.05250000000007
"['Warehouse', 'New World Papatoetoe', 'Warehouse']",114.54125
"['Warehouse', 'New World Papatoetoe', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'Warehouse']",188.89833333333334
"['Warehouse', 'New World Southmall', 'Warehouse']",146.45749999999998
"['Warehouse', 'New World Southmall', 'Four Square Everglade', 'Warehouse']",167.66458333333333
"['Warehouse', 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'Warehouse']",206.42874999999992
"['Warehouse', 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'New World Ormiston', 'Warehouse']",231.9125
"['Warehouse', 'New World Papakura', 'Warehouse']",189.43166666666679
